Timestamp,tmpc,dwpc,mslp,wdir,wspd,skct,pr1h
2010-01-01,-1.9749999999999999,-4.183333333333334,1018.2083333333331,279.1666666666667,6.183333333333334,6.0,0.0
2010-01-02,-13.324999999999998,-16.933333333333334,1029.3166666666668,286.6666666666667,5.591666666666668,2.25,0.0
2010-01-03,-16.525000000000002,-19.81666666666667,1032.9916666666666,296.6666666666667,4.633333333333334,0.0,0.0
2010-01-04,-15.325000000000001,-19.858333333333338,1032.2499999999998,305.8333333333333,3.6416666666666675,0.0,0.0
2010-01-05,-14.441666666666665,-17.7,1028.1416666666667,290.8333333333333,6.300000000000001,1.3333333333333333,0.0
2010-01-06,-15.133333333333335,-18.38333333333333,1026.6083333333333,275.8333333333333,5.191666666666667,3.3333333333333335,-0.008333333333333333
2010-01-07,-13.341666666666667,-17.05,1025.6916666666666,245.83333333333334,2.541666666666667,0.0,0.0
2010-01-08,-9.025,-11.308333333333335,1015.2272727272727,233.33333333333334,7.8,8.25,0.08333333333333329
2010-01-09,-8.983333333333334,-11.975,1026.5181818181818,289.1666666666667,7.333333333333335,6.666666666666667,-0.049999999999999996
2010-01-10,-17.69166666666667,-20.933333333333334,1034.4916666666666,288.3333333333333,3.808333333333334,0.0,0.0
2010-01-11,-16.80833333333333,-19.999999999999996,1034.4166666666667,212.5,3.558333333333334,0.0,0.0
2010-01-12,-6.908333333333334,-10.683333333333335,1023.0583333333333,298.3333333333333,5.991666666666667,5.0,0.0
2010-01-13,-4.533333333333332,-7.650000000000001,1032.2166666666667,265.0,2.7500000000000004,8.0,-0.008333333333333333
2010-01-14,-3.6999999999999997,-7.041666666666669,1024.4083333333335,185.0,5.841666666666668,0.0,0.0
2010-01-15,1.2083333333333333,-2.2833333333333337,1019.8916666666668,193.33333333333334,4.566666666666667,5.583333333333333,0.0
2010-01-16,0.09999999999999999,-1.2666666666666664,1025.8333333333333,210.83333333333334,1.6833333333333336,8.0,0.0
2010-01-17,-0.5583333333333335,-1.2249999999999999,1023.0250000000001,142.5,2.0250000000000004,8.833333333333334,0.0
2010-01-18,-2.1416666666666666,-3.5166666666666657,1011.7166666666667,305.8333333333333,4.408333333333334,7.666666666666667,0.0
2010-01-19,0.25,-0.7583333333333332,1016.0416666666666,244.16666666666666,3.1750000000000007,8.083333333333334,0.0
2010-01-20,-1.5499999999999998,-2.741666666666667,1016.0,41.666666666666664,2.5750000000000006,8.166666666666666,0.0
2010-01-21,-0.6583333333333332,-2.8083333333333336,1011.1166666666668,84.16666666666667,8.533333333333335,8.0,0.08333333333333333
2010-01-22,0.6333333333333333,-0.44999999999999996,1005.2166666666667,66.66666666666667,7.916666666666668,8.0,0.4583333333333333
2010-01-23,1.2083333333333333,-0.3166666666666667,1012.9083333333334,66.66666666666667,3.6916666666666678,8.0,0.0
2010-01-24,4.358333333333334,3.616666666666667,1009.1166666666668,135.83333333333334,5.525000000000001,8.666666666666666,0.0
2010-01-25,6.383333333333333,4.541666666666667,994.0500000000002,229.16666666666666,7.691666666666667,8.0,0.016666666666666666
2010-01-26,-1.1666666666666665,-4.35,996.0999999999999,248.33333333333334,8.7,8.0,-0.09166666666666666
2010-01-27,-8.175,-12.541666666666666,1016.1833333333333,270.8333333333333,9.525,8.0,-0.09999999999999999
2010-01-28,-5.050000000000001,-8.933333333333334,1024.3416666666667,231.66666666666666,4.275000000000001,4.25,0.03333333333333333
2010-01-29,-11.299999999999999,-16.816666666666663,1032.2583333333334,307.5,5.175000000000001,0.0,0.0
2010-01-30,-9.941666666666666,-15.358333333333336,1031.7416666666666,56.666666666666664,5.066666666666667,0.6666666666666666,0.0
2010-01-31,-7.925,-13.516666666666666,1023.125,31.666666666666668,4.750000000000001,0.0,0.0
2010-02-01,-6.8,-11.999999999999998,1026.1416666666667,246.66666666666666,3.350000000000001,0.0,0.0
2010-02-02,-2.5,-7.599999999999999,1025.3999999999999,125.83333333333333,2.841666666666667,0.5,0.0
2010-02-03,-0.033333333333333305,-3.5083333333333333,1017.3249999999999,225.0,4.250000000000001,8.0,0.0
2010-02-04,-4.783333333333332,-7.866666666666667,1026.9416666666666,195.83333333333334,2.1,8.0,0.0
2010-02-05,-0.8750000000000001,-4.166666666666665,1026.5166666666667,88.33333333333333,4.0166666666666675,0.5833333333333334,0.0
2010-02-06,0.09999999999999999,-1.633333333333333,1011.1750000000001,46.666666666666664,8.15,8.0,0.19166666666666662
2010-02-07,-2.6916666666666664,-7.125000000000001,1017.4833333333335,70.83333333333333,9.491666666666667,4.333333333333333,-0.025000000000000005
2010-02-08,-5.958333333333333,-10.133333333333335,1022.4166666666666,71.66666666666667,2.016666666666667,2.75,0.0
2010-02-09,-5.366666666666666,-8.575,1021.3916666666669,102.5,4.1000000000000005,5.833333333333333,0.0
2010-02-10,-8.708333333333334,-10.991666666666669,1011.5272727272728,195.0,6.258333333333333,7.416666666666667,-0.049999999999999996
2010-02-11,-5.508333333333333,-8.933333333333335,1019.0090909090909,295.8333333333333,8.458333333333334,6.333333333333333,0.0
2010-02-12,-10.874999999999998,-13.941666666666668,1021.9416666666667,258.3333333333333,2.5416666666666674,0.0,0.0
2010-02-13,-6.841666666666668,-9.858333333333334,1018.225,85.0,0.6833333333333332,5.916666666666667,0.0
2010-02-14,-8.324999999999998,-11.441666666666668,1016.5833333333334,270.0,3.1833333333333336,2.25,-0.016666666666666666
2010-02-15,-5.141666666666667,-7.699999999999999,1013.7750000000001,182.5,1.9333333333333336,5.5,0.0
