Date,TMAX,TMIN,WMAX,RTOT
5/7/2010,8.94,3.64,7.907591289,0.1
5/8/2010,14.94,2.94,2.745906044,0
5/9/2010,14.54,6.54,7.99812478,7.37
5/10/2010,19.24,9.04,9.047651629,23.52
5/11/2010,20.94,10.14,5.011985634,2.13
5/12/2010,25.04,15.24,6.847627326,14.24
5/13/2010,19.84,10.14,5.015974482,0.31
5/14/2010,19.94,10.84,3.92173431,0.64
5/15/2010,15.14,11.84,5.727128425,2.55
5/16/2010,11.64,10.14,5.930430001,38.44
5/17/2010,11.74,8.44,4.903060269,0.54
5/18/2010,19.04,10.94,5.325410782,0.11
5/19/2010,15.54,12.04,6.260990337,13.87
5/20/2010,21.34,15.24,5.456189146,17.12
5/21/2010,25.34,15.34,3.544009029,0.17
5/22/2010,29.94,16.94,4.726520919,0
5/23/2010,29.54,20.74,3.661966685,1.81
5/24/2010,28.14,18.94,2.817800561,4.84
5/25/2010,28.84,17.84,1.910497317,3.7
5/26/2010,25.64,13.34,5.470831747,1.49
5/27/2010,23.54,13.44,4.414748011,0
5/28/2010,28.34,14.44,2.901723626,0.08
5/29/2010,29.04,18.04,2.758622845,4.1
5/30/2010,26.74,19.54,2.5,15.45
5/31/2010,29.14,19.74,2.915475947,0
6/1/2010,30.54,21.04,6.618912297,18.42
6/2/2010,27.24,17.74,3.689173349,2.34
6/3/2010,29.24,15.44,4.810405388,0.99
6/4/2010,28.24,21.24,5.008991915,7.67
6/5/2010,23.04,14.44,6.98140387,0.33
6/6/2010,21.84,13.34,2.059126028,2.07
6/7/2010,19.14,15.34,5.622277119,26.16
6/8/2010,26.04,16.94,5.366563146,0.41
6/9/2010,18.34,15.94,3.39705755,0.43
6/10/2010,29.74,21.64,6.449806199,0.85
6/11/2010,31.34,21.44,5.280151513,12.24
6/12/2010,29.84,23.14,3.920459157,9.95
6/13/2010,29.54,22.74,3.12409987,15.69
6/14/2010,27.14,20.14,6.168468205,12.52
6/15/2010,26.34,17.44,4.143669871,0.06
6/16/2010,28.34,14.04,3.101612484,0
6/17/2010,31.74,19.74,5.142956348,1.83
6/18/2010,32.74,22.94,5.371219601,1.34
6/19/2010,29.24,17.94,6.53911309,5.26
6/21/2010,33.24,22.04,4.837354649,2.32
6/22/2010,32.54,22.74,6.860029154,9.13
6/23/2010,26.54,17.64,4.527692569,0.09
6/24/2010,27.64,16.34,2.901723626,0
6/25/2010,32.54,19.64,5.1623638,0
6/26/2010,29.74,23.14,6.080296045,5.15
6/27/2010,27.24,17.34,4.686149806,1.64
6/28/2010,24.04,16.04,3.443835072,0
6/29/2010,23.54,12.74,2.692582404,0
6/30/2010,24.14,12.34,2.823118843,0
7/1/2010,25.74,11.94,2.9,0
7/2/2010,28.34,13.34,3.238826948,0
7/3/2010,30.54,18.44,4.661544808,1.69
7/4/2010,30.14,21.54,5.458937626,0
7/5/2010,31.54,21.14,3.471310992,0
7/6/2010,32.44,20.24,2.62488095,0.15
7/7/2010,26.34,21.34,3.423448554,9.71
7/8/2010,26.34,18.54,4.310452412,4.88
7/9/2010,29.34,16.74,2.28035085,0.13
7/10/2010,28.74,18.14,2.517935662,3.77
7/11/2010,27.44,18.34,2.596150997,9.26
7/12/2010,28.54,19.54,2.319482701,2.02
7/13/2010,31.84,19.74,3.601388621,0
7/14/2010,32.44,22.94,3.423448554,2.25
7/15/2010,30.04,15.64,2.941088234,0
7/16/2010,31.24,16.64,2.952964612,0
7/17/2010,32.44,22.84,6.010823571,2.3
7/18/2010,31.54,21.44,5.643580424,5.19
7/19/2010,31.04,20.64,4.401136217,13.3
7/20/2010,30.04,21.74,3.383784863,12.67
7/21/2010,29.44,22.24,5.597320788,9.72
7/22/2010,32.84,25.04,5.382378656,1.81
7/23/2010,33.14,25.04,6.122091146,3.92
7/24/2010,26.24,19.34,4.162931659,9.99
7/25/2010,28.74,16.14,2.555386468,0
7/26/2010,32.14,20.84,2.831960452,1.68
7/27/2010,31.14,21.84,3.580502758,3.91
7/28/2010,29.44,18.04,2.915475947,0
7/29/2010,28.74,16.14,2.751363298,0
7/30/2010,29.84,16.84,3.138470965,3.72
7/31/2010,29.94,19.04,2.302172887,0
8/1/2010,31.84,17.54,2.53179778,0
8/2/2010,37.14,20.04,3.354101966,1.95
8/3/2010,35.14,22.84,3.712142239,4.97
8/4/2010,31.84,20.44,3.014962686,0.02
8/5/2010,28.04,15.84,3.206243908,0
8/6/2010,29.74,14.54,2.501999201,0
8/7/2010,32.84,18.54,3.780211634,0
8/8/2010,34.74,20.74,2.901723626,0
8/9/2010,37.14,24.84,2.745906044,9.41
8/10/2010,36.04,24.14,2.601922366,2.18
8/11/2010,35.94,21.64,2.630589288,0.01
8/12/2010,35.74,20.74,2.915475947,0
8/13/2010,35.94,20.74,3.984971769,5.13
8/14/2010,32.54,18.44,4.596737974,1.09
8/15/2010,29.04,14.14,3.178049716,0
8/16/2010,29.94,13.84,3.701351105,0.31
8/17/2010,31.34,16.14,3.190611227,0
8/18/2010,33.64,16.14,2.302172887,0
8/19/2010,34.94,21.34,4.001249805,0.02
8/20/2010,32.24,17.84,5.020956084,8.61
8/21/2010,31.84,15.34,4.085339643,0
8/22/2010,30.74,14.74,3.190611227,0
8/23/2010,30.74,16.74,2.912043956,0
8/24/2010,27.04,14.74,5.0009999,0
8/25/2010,26.44,11.84,2.901723626,0
