Date,Max Hourly Temp (C),Min Hourly Temp (C),Max Wind Speed (m/s),Total Precip (mm)
2015-09-30,20.555555555555557,10.555555555555555,7.15264,0.00
2015-10-01,19.444444444444446,7.777777777777779,7.15264,0.00
2015-10-02,19.444444444444446,7.777777777777779,9.38784,0.00
2015-10-08,26.11111111111111,12.222222222222223,8.04672,0.02
2015-10-10,20.555555555555557,3.8888888888888893,4.02336,0.00
2015-10-11,26.11111111111111,6.111111111111112,8.9408,0.00
2015-10-12,25.0,13.333333333333334,8.04672,0.00
2015-10-13,20.0,6.111111111111112,6.7056,0.00
2015-10-14,20.0,3.3333333333333335,4.4704,0.00
2015-10-15,22.77777777777778,2.7777777777777777,8.9408,0.00
2015-10-16,15.555555555555557,2.2222222222222223,6.7056,0.00
2015-10-17,11.666666666666668,-1.6666666666666667,9.38784,0.00
2015-10-18,16.11111111111111,-2.2222222222222223,4.02336,0.00
2015-10-19,22.77777777777778,6.111111111111112,11.62304,0.00
2015-10-20,26.11111111111111,10.0,9.83488,0.00
2015-10-21,27.77777777777778,12.222222222222223,9.83488,0.00
2015-10-22,25.555555555555557,12.777777777777779,6.7056,0.00
2015-10-23,23.333333333333336,11.11111111111111,6.7056,0.01
2015-10-26,18.88888888888889,5.0,8.9408,0.00
2015-11-01,19.444444444444446,6.111111111111112,5.81152,0.00
2015-11-07,13.333333333333334,1.6666666666666667,7.59968,0.00
2015-11-08,12.222222222222223,-1.6666666666666667,4.02336,0.00
2015-11-09,13.88888888888889,0.0,3.57632,0.00
2015-11-10,13.88888888888889,-1.1111111111111112,3.57632,0.00
2015-11-11,18.333333333333336,3.3333333333333335,14.75232,0.10
2015-11-12,12.222222222222223,5.0,14.75232,0.00
2015-11-13,10.555555555555555,-2.2222222222222223,11.62304,0.00
2015-11-14,17.22222222222222,-4.444444444444445,9.38784,0.00
2015-11-15,19.444444444444446,1.1111111111111112,8.9408,0.00
2015-11-20,9.444444444444445,-2.7777777777777777,6.25856,0.00
2015-11-22,-1.1111111111111112,-13.333333333333334,8.04672,0.00
2015-11-23,5.555555555555555,-3.3333333333333335,8.04672,0.00
2015-11-25,12.222222222222223,3.3333333333333335,10.72896,0.03
2015-11-26,18.333333333333336,10.555555555555555,12.96416,0.02
2015-11-28,5.0,3.3333333333333335,8.04672,0.08
2015-11-29,4.444444444444445,1.6666666666666667,8.9408,0.00
2015-12-01,8.333333333333334,1.6666666666666667,8.04672,0.04
2015-12-09,12.222222222222223,3.8888888888888893,7.59968,0.00
2015-12-10,13.88888888888889,3.8888888888888893,9.83488,0.00
2015-12-12,19.444444444444446,12.222222222222223,7.59968,0.00
2015-12-16,13.88888888888889,0.5555555555555556,9.38784,0.00
2015-12-17,1.1111111111111112,-2.2222222222222223,8.04672,0.00
2015-12-18,1.6666666666666667,-4.444444444444445,11.62304,0.00
2015-12-19,1.1111111111111112,-7.777777777777779,6.25856,0.00
