Date,Max Hourly Temp (C),Min Hourly Temp (C),Max Wind Speed (m/s),Daily Precip (mm)
2/4/2015,1.1111111111111112,-13.88888888888889,9.83488,0.0
2/5/2015,-8.88888888888889,-18.333333333333332,6.25856,0.0
2/6/2015,1.6666666666666667,-10.555555555555555,7.15264,0.0
2/7/2015,10.0,0.0,8.04672,0.0
2/8/2015,12.222222222222221,0.5555555555555556,8.9408,0.0
2/9/2015,0.0,-2.7777777777777777,8.04672,0.0
2/10/2015,2.2222222222222223,-2.7777777777777777,7.15264,0.0
2/11/2015,2.2222222222222223,-5.0,10.28192,0.0
2/12/2015,-6.666666666666667,-12.222222222222221,13.85824,0.0
2/13/2015,-1.6666666666666667,-13.333333333333334,8.04672,0.0
2/14/2015,-1.6666666666666667,-15.0,16.98752,0.0
2/15/2015,-7.222222222222222,-16.11111111111111,6.7056,0.0
2/16/2015,-6.111111111111111,-14.444444444444445,4.91744,0.0
2/17/2015,-1.1111111111111112,-15.0,8.9408,0.0
2/18/2015,-10.0,-17.22222222222222,11.176,0.0
2/19/2015,-11.666666666666666,-20.0,8.04672,0.0
2/20/2015,-6.666666666666667,-18.88888888888889,10.28192,0.0
2/21/2015,-0.5555555555555556,-7.222222222222222,4.4704,5.100000000000001
2/22/2015,-1.6666666666666667,-13.88888888888889,8.04672,0.0
2/23/2015,-10.555555555555555,-22.77777777777778,5.81152,0.0
2/24/2015,-2.2222222222222223,-24.444444444444443,11.62304,0.0
2/25/2015,-1.1111111111111112,-13.333333333333334,6.7056,0.0
2/26/2015,-4.444444444444445,-12.777777777777779,7.59968,0.0
2/27/2015,-10.555555555555555,-21.11111111111111,4.02336,0.0
2/28/2015,-5.0,-15.555555555555555,5.81152,0.0
3/1/2015,-2.7777777777777777,-11.11111111111111,4.4704,10.300000000000002
3/2/2015,-3.3333333333333335,-12.777777777777779,4.02336,0.0
3/3/2015,2.2222222222222223,-3.3333333333333335,9.83488,0.5000000000000001
3/4/2015,0.5555555555555556,-9.444444444444445,8.9408,0.0
3/5/2015,-9.444444444444445,-20.555555555555557,7.15264,0.0
3/6/2015,-3.888888888888889,-21.666666666666668,11.176,0.0
3/7/2015,3.888888888888889,-5.0,8.9408,0.0
3/8/2015,5.555555555555555,-4.444444444444445,4.4704,0.0
3/9/2015,6.666666666666667,-0.5555555555555556,4.02336,0.0
3/10/2015,10.555555555555555,1.1111111111111112,3.57632,1.7999999999999998
3/11/2015,17.22222222222222,-0.5555555555555556,6.7056,0.0
